iter	Passed	Remaining
0	1	148
1	2	146
2	4	150
3	6	148
4	8	156
5	9	155
6	12	159
7	14	166
8	16	165
9	18	164
10	20	163
11	22	165
12	24	165
13	26	165
14	28	162
15	30	158
16	31	153
17	33	151
18	34	147
19	36	146
20	37	142
21	39	139
22	41	140
23	43	137
24	46	138
25	48	136
26	49	134
27	51	132
28	53	130
29	54	127
30	55	124
31	56	120
32	58	118
33	59	115
34	61	113
35	62	111
36	64	109
37	65	107
38	67	105
39	70	105
40	72	103
41	73	100
42	74	99
43	76	97
44	78	95
45	79	93
46	81	91
47	82	89
48	84	88
49	86	86
50	88	85
51	90	83
52	92	81
53	93	79
54	95	77
55	97	76
56	100	75
57	102	74
58	104	72
59	105	70
60	107	68
61	109	67
62	111	65
63	112	63
64	114	61
65	116	60
66	118	58
67	120	56
68	122	55
69	124	53
70	127	51
71	129	50
72	130	48
73	132	46
74	134	44
75	136	43
76	138	41
77	140	39
78	142	37
79	143	35
80	145	34
81	146	32
82	147	30
83	149	28
84	150	26
85	152	24
86	154	23
87	156	21
88	158	19
89	160	17
90	161	15
91	163	14
92	164	12
93	166	10
94	168	8
95	169	7
96	170	5
97	171	3
98	173	1
99	174	0
