iter	Passed	Remaining
0	1	1044
1	1	875
2	2	839
3	3	815
4	4	805
5	4	792
6	5	782
7	6	778
8	7	775
9	7	769
10	8	767
11	9	767
12	10	776
13	10	774
14	11	772
15	12	766
16	13	757
17	13	748
18	14	743
19	15	738
20	15	738
21	16	734
22	17	735
23	18	733
24	18	729
25	19	727
26	20	726
27	20	723
28	21	722
29	22	717
30	22	716
31	23	715
32	24	717
33	25	721
34	26	720
35	26	718
36	27	718
37	28	716
38	28	714
39	29	713
40	30	712
41	31	711
42	31	709
43	32	708
44	33	707
45	34	706
46	34	705
47	35	705
48	36	705
49	37	703
50	38	708
51	38	708
52	39	708
53	40	709
54	41	710
55	42	710
56	42	709
57	43	709
58	44	708
59	45	706
60	45	705
61	46	703
62	47	702
63	47	701
64	48	700
65	49	699
66	50	697
67	50	698
68	51	699
69	52	696
70	53	694
71	53	693
72	54	691
73	55	690
74	55	689
75	56	688
76	57	687
77	58	686
78	58	685
79	59	685
80	60	684
81	60	682
82	61	676
83	61	675
84	62	674
85	63	672
86	63	670
87	64	668
88	65	667
89	65	665
90	66	663
91	67	661
92	67	659
93	68	657
94	68	656
95	69	655
96	70	655
97	71	654
98	71	653
99	72	653
100	73	652
101	73	651
102	74	650
103	75	648
104	76	648
105	76	647
106	77	646
107	78	645
108	78	644
109	79	643
110	80	642
111	80	641
112	81	640
113	82	639
114	82	637
115	83	637
116	84	635
117	85	635
118	85	635
119	86	635
120	87	634
121	87	633
122	88	633
123	89	633
124	90	633
125	91	632
126	91	631
127	92	630
128	93	630
129	94	629
130	94	629
131	95	628
132	96	627
133	97	626
134	97	626
135	98	625
136	99	624
137	100	624
138	100	624
139	101	624
140	102	626
141	103	625
142	104	625
143	105	626
144	106	625
145	106	624
146	107	623
147	108	623
148	108	621
149	109	621
150	110	620
151	111	619
152	111	618
153	112	617
154	113	616
155	113	616
156	114	615
157	115	616
158	116	616
159	117	616
160	117	614
161	118	614
162	119	613
163	120	612
164	120	612
165	121	611
166	122	610
167	123	610
168	124	609
169	124	608
170	125	608
171	126	607
172	126	606
173	127	606
174	128	605
175	129	604
176	129	603
177	130	603
178	131	602
179	132	601
180	132	600
181	133	599
182	134	600
183	135	599
184	135	599
185	136	598
186	137	597
187	138	596
188	138	595
189	139	594
190	140	593
191	140	592
192	141	591
193	142	590
194	142	589
195	143	588
196	144	587
197	144	586
198	145	586
199	146	585
200	147	584
201	147	584
202	148	583
203	149	582
204	149	581
205	150	580
206	151	579
207	152	578
208	152	577
209	153	576
210	153	575
211	154	574
212	155	573
213	155	572
214	156	571
215	157	570
216	157	569
217	158	567
218	158	566
219	159	566
220	160	565
221	161	565
222	162	565
223	162	564
224	163	563
225	164	562
226	164	561
227	165	560
228	166	558
229	166	557
230	167	556
231	167	555
232	168	554
233	169	553
234	169	552
235	170	551
236	170	550
237	171	549
238	172	547
239	172	546
240	173	545
241	173	544
242	174	543
243	175	543
244	176	542
245	176	542
246	177	541
247	178	540
248	178	539
249	179	538
250	180	537
251	180	536
252	181	535
253	181	533
254	182	532
255	183	531
256	183	530
257	184	529
258	184	528
259	185	527
260	186	526
261	186	525
262	187	525
263	188	524
264	188	523
265	189	522
266	190	522
267	190	521
268	191	520
269	192	520
270	193	519
271	193	518
272	194	518
273	195	517
274	195	516
275	196	515
276	197	514
277	197	513
278	198	512
279	198	511
280	199	510
281	200	509
282	200	508
283	201	507
284	201	506
285	202	505
286	203	504
287	203	503
288	204	502
289	205	502
290	205	501
291	206	500
292	207	499
293	207	499
294	208	498
295	209	497
296	209	496
297	210	495
298	210	494
299	211	493
300	212	492
301	212	491
302	213	490
303	214	490
304	214	489
305	215	488
306	215	487
307	216	486
308	217	485
309	217	484
310	218	483
311	219	482
312	219	482
313	220	482
314	221	481
315	222	481
316	223	480
317	223	480
318	224	479
319	225	478
320	225	477
321	226	476
322	227	475
323	227	475
324	228	474
325	229	473
326	229	472
327	230	471
328	230	470
329	231	470
330	232	469
331	232	468
332	233	467
333	233	466
334	234	465
335	235	465
336	236	464
337	236	463
338	237	463
339	238	462
340	238	461
341	239	460
342	239	459
343	240	458
344	241	457
345	241	456
346	242	456
347	242	455
348	243	454
349	244	453
350	244	452
351	245	451
352	246	450
353	246	450
354	247	449
355	247	448
356	248	447
357	249	446
358	249	446
359	250	445
360	251	445
361	252	444
362	252	443
363	253	442
364	254	441
365	254	441
366	255	440
367	255	439
368	256	438
369	257	437
370	257	437
371	258	436
372	258	435
373	259	434
374	260	433
375	260	432
376	261	432
377	262	431
378	262	430
379	263	429
380	263	428
381	264	427
382	264	426
383	265	426
384	266	425
385	267	425
386	267	424
387	268	423
388	269	422
389	269	422
390	270	421
391	271	420
392	272	420
393	272	419
394	273	418
395	273	417
396	274	417
397	275	416
398	275	415
399	276	414
400	277	413
401	277	413
402	278	412
403	278	411
404	279	410
405	280	410
406	281	409
407	281	409
408	282	408
409	283	407
410	284	407
411	284	406
412	285	406
413	286	405
414	287	404
415	287	404
416	288	403
417	289	402
418	289	401
419	290	400
420	290	400
421	291	399
422	292	398
423	292	397
424	293	397
425	294	396
426	294	395
427	295	395
428	296	394
429	297	394
430	297	393
431	298	392
432	299	392
433	300	391
434	300	390
435	301	389
436	302	389
437	302	388
438	303	387
439	303	386
440	304	385
441	305	385
442	305	384
443	306	383
444	306	382
445	307	381
446	308	381
447	308	380
448	309	379
449	310	378
450	310	378
451	311	377
452	312	376
453	312	376
454	313	375
455	314	374
456	314	373
457	315	373
458	316	372
459	316	371
460	317	370
461	317	370
462	318	369
463	319	368
464	319	367
465	320	367
466	320	366
467	321	365
468	322	364
469	322	364
470	323	363
471	324	362
472	324	361
473	325	360
474	325	360
475	326	359
476	327	359
477	328	358
478	328	357
479	329	356
480	330	356
481	330	355
482	331	354
483	331	353
484	332	353
485	333	352
486	333	351
487	334	350
488	335	350
489	335	349
490	336	348
491	336	347
492	337	347
493	338	346
494	338	345
495	339	344
496	339	344
497	340	343
498	341	342
499	342	342
500	343	341
501	343	340
502	344	340
503	344	339
504	345	338
505	346	337
506	346	337
507	347	336
508	347	335
509	348	334
510	349	334
511	349	333
512	350	332
513	351	331
514	351	331
515	352	330
516	352	329
517	353	329
518	354	328
519	354	327
520	355	326
521	356	326
522	357	325
523	357	325
524	358	324
525	359	323
526	359	322
527	360	322
528	361	321
529	361	320
530	362	319
531	362	319
532	363	318
533	364	317
534	364	317
535	365	316
536	365	315
537	366	314
538	367	314
539	367	313
540	368	312
541	369	311
542	369	311
543	370	310
544	370	309
545	371	309
546	372	308
547	373	307
548	373	307
549	374	306
550	375	305
551	375	305
552	376	304
553	377	303
554	377	302
555	378	302
556	379	301
557	379	300
558	380	299
559	380	299
560	381	298
561	382	297
562	382	297
563	383	296
564	383	295
565	384	294
566	385	294
567	385	293
568	386	292
569	387	291
570	387	291
571	388	290
572	389	289
573	389	289
574	390	288
575	391	288
576	392	287
577	392	286
578	393	285
579	393	285
580	394	284
581	395	283
582	395	283
583	396	282
584	397	281
585	397	281
586	398	280
587	398	279
588	399	278
589	400	278
590	400	277
591	401	276
592	402	276
593	402	275
594	403	274
595	404	274
596	405	273
597	405	272
598	406	272
599	407	271
600	407	270
601	408	269
602	408	269
603	409	268
604	410	267
605	410	266
606	411	266
607	411	265
608	412	264
609	413	264
610	413	263
611	414	262
612	414	261
613	415	261
614	416	260
615	417	259
616	417	259
617	418	258
618	419	258
619	419	257
620	420	256
621	421	255
622	421	255
623	422	254
624	423	253
625	423	253
626	424	252
627	424	251
628	425	250
629	426	250
630	426	249
631	427	248
632	427	248
633	428	247
634	429	246
635	429	245
636	430	245
637	430	244
638	431	243
639	432	243
640	433	242
641	433	241
642	434	241
643	435	240
644	436	240
645	436	239
646	437	238
647	438	238
648	438	237
649	439	236
650	440	235
651	440	235
652	441	234
653	442	233
654	442	233
655	443	232
656	443	231
657	444	230
658	445	230
659	445	229
660	446	228
661	446	228
662	447	227
663	448	226
664	449	226
665	449	225
666	450	225
667	451	224
668	452	223
669	452	223
670	453	222
671	454	221
672	454	220
673	455	220
674	456	219
675	456	218
676	457	218
677	457	217
678	458	216
679	459	216
680	459	215
681	460	214
682	461	213
683	461	213
684	462	212
685	463	212
686	463	211
687	464	210
688	465	210
689	465	209
690	466	208
691	467	207
692	467	207
693	468	206
694	468	205
695	469	205
696	470	204
697	470	203
698	471	203
699	472	202
700	472	201
701	473	200
702	473	200
703	474	199
704	475	198
705	475	198
706	476	197
707	477	196
708	477	196
709	478	195
710	479	194
711	479	194
712	480	193
713	481	192
714	482	192
715	482	191
716	483	190
717	484	190
718	484	189
719	485	188
720	485	188
721	486	187
722	487	186
723	487	185
724	488	185
725	489	184
726	489	183
727	490	183
728	490	182
729	491	181
730	492	181
731	492	180
732	493	179
733	494	179
734	495	178
735	495	177
736	496	177
737	497	176
738	498	175
739	498	175
740	499	174
741	500	173
742	500	173
743	501	172
744	501	171
745	502	171
746	503	170
747	503	169
748	504	169
749	505	168
750	505	167
751	506	166
752	506	166
753	507	165
754	508	164
755	509	164
756	510	163
757	510	163
758	511	162
759	512	161
760	512	161
761	513	160
762	513	159
763	514	158
764	515	158
765	515	157
766	516	156
767	516	156
768	517	155
769	518	154
770	518	154
771	519	153
772	519	152
773	520	151
774	521	151
775	521	150
776	522	149
777	523	149
778	524	148
779	524	148
780	525	147
781	526	146
782	526	145
783	527	145
784	527	144
785	528	143
786	529	143
787	529	142
788	530	141
789	531	141
790	531	140
791	532	139
792	532	139
793	533	138
794	534	137
795	534	137
796	535	136
797	535	135
798	536	134
799	537	134
800	537	133
801	538	132
802	539	132
803	540	131
804	540	130
805	541	130
806	542	129
807	543	129
808	543	128
809	544	127
810	545	127
811	545	126
812	546	125
813	547	125
814	547	124
815	548	123
816	549	123
817	550	122
818	550	121
819	551	121
820	552	120
821	553	119
822	554	119
823	555	118
824	555	117
825	556	117
826	557	116
827	557	115
828	558	115
829	559	114
830	559	113
831	560	113
832	560	112
833	561	111
834	562	111
835	562	110
836	563	109
837	563	109
838	564	108
839	565	107
840	565	106
841	566	106
842	567	105
843	567	104
844	568	104
845	569	103
846	569	102
847	570	102
848	571	101
849	571	100
850	572	100
851	573	99
852	573	98
853	574	98
854	574	97
855	575	96
856	576	96
857	576	95
858	577	94
859	577	94
860	578	93
861	579	92
862	579	92
863	580	91
864	581	90
865	581	90
866	582	89
867	583	88
868	584	88
869	584	87
870	585	86
871	586	86
872	586	85
873	587	84
874	588	84
875	589	83
876	590	82
877	590	82
878	591	81
879	592	80
880	592	80
881	593	79
882	593	78
883	594	78
884	595	77
885	595	76
886	596	75
887	596	75
888	597	74
889	598	73
890	598	73
891	599	72
892	600	71
893	600	71
894	601	70
895	602	69
896	603	69
897	603	68
898	604	67
899	605	67
900	606	66
901	606	65
902	607	65
903	607	64
904	608	63
905	609	63
906	609	62
907	610	61
908	610	61
909	611	60
910	612	59
911	612	59
912	613	58
913	614	57
914	615	57
915	615	56
916	616	55
917	617	55
918	617	54
919	618	53
920	618	53
921	619	52
922	620	51
923	620	51
924	621	50
925	621	49
926	622	49
927	623	48
928	623	47
929	624	46
930	624	46
931	625	45
932	626	44
933	626	44
934	627	43
935	627	42
936	628	42
937	629	41
938	630	40
939	630	40
940	631	39
941	632	38
942	632	38
943	633	37
944	634	36
945	634	36
946	635	35
947	635	34
948	636	34
949	637	33
950	637	32
951	638	32
952	639	31
953	639	30
954	640	30
955	640	29
956	641	28
957	641	28
958	642	27
959	643	26
960	643	26
961	644	25
962	645	24
963	646	24
964	646	23
965	647	22
966	647	22
967	648	21
968	649	20
969	649	20
970	650	19
971	651	18
972	651	18
973	652	17
974	652	16
975	653	16
976	654	15
977	654	14
978	655	14
979	656	13
980	656	12
981	657	12
982	657	11
983	658	10
984	659	10
985	660	9
986	660	8
987	661	8
988	662	7
989	662	6
990	663	6
991	663	5
992	664	4
993	665	4
994	665	3
995	666	2
996	667	2
997	667	1
998	668	0
999	669	0
